,code,title,pointsR1,pointsR2,LEVEL
718,LC223,Law and Taxation,307,,8
719,LC224,Accounting and Finance,300,,8
720,LC225,Marketing and Management,298,,8
721,LC226,Enterprise and Innovation,234,234,8
724,LC233,Software Development,272,,8
725,LC234,Interactive Digital Media,225,,8
727,LC236,Internet Systems Development,262,260,8
728,LC239,Computer Networks and Systems Management,307,,8
729,LC241,Construction Management,255,,8
730,LC242,Property Valuation and Management,282,,8
731,LC243,Quantity Surveying,294,,8
732,LC248,Built Environment (Common Entry),288,,8
734,LC252,Civil Engineering Management,270,,8
737,LC263,Clinical Technology,294,,8
738,LC265,Forensic and Pharmaceutical Sciences,413,,8
739,LC266,Drug and Medicinal Product Analysis,262,,8
744,LC275,Electrical Engineering,298,,8
754,LC288,Mechanical Engineering,347,346,8
755,LC289,Precision Engineering,291,,8
757,LC292,Social Care Work,367,,8
758,LC293,Business Studies with Travel and Tourism Management,307,,8
759,LC294,Business Studies with Event Management,279,,8
760,LC295,Business Studies with Sports Management,252,,8
761,LC297,Community Development,235,,8
762,LC320,Business,346,,8
763,LC330,Business with Computing,297,,8
765,LC340,Interior Design,350,,8
766,LC362,Biotechnology and Biopharmaceutical Sciences,413,,8
767,LC371,Creative Broadcast and Film Production,309,,8
768,LC372,Music Technology and Production,325,,8
769,LC374,Renewable and Electrical Energy Engineering,318,,8
770,LC375,Industrial Automation and Robotic Systems,317,,8
771,LC376,Electronic Engineering,318,,8
772,LC380,Automotive Engineering and Transport Management,303,298,8
773,LC392,Business Studies in Beauty and Spa Management,236,,8
774,LC393,Early Childhood Education and Care,236,,8
777,LC401,Early Childhood Education and Care,297,,8
778,LC402,Social Care Work,225,,8
779,LC408,Environmental Science and Climate,279,,8
780,LC414,Data Analytics and Cyber Security,236,,8
782,LC416,Business,274,,8
783,LC418,Computing - Games Design and Development,270,,8
784,LC422,Sports Strength and Conditioning,298,,8
789,LC434,Environmental Science and Agriculture,297,,8
790,LC502,Game Art and Design (portfolio),852,,8
792,LC517,Creative Media and Design,234,,8
793,LC518,Digital Animation Production (portfolio),808,,8
797,LC612,Social Care Work,320,,8
798,LC613,Early Childhood Education and Care,242,,8
799,LM002,Arts,348,,8
800,LM020,Law and Accounting,465,,8
801,LM026,Performing Arts (audition required),303,,8
802,LM028,Criminal Justice,418,,8
803,LM029,Law Plus,490,,8
804,LM038,Psychology and Sociology,500,,8
805,LM039,Journalism and Digital Communication,402,,8
806,LM040,European Studies,369,,8
