code,Title,EOS_20,EOS_19
LM094,Materials and Architectural Technology with concurrent Teacher Education,440.0,405.0
LM095,Materials and Engineering Technology with concurrent Teacher Education,367.0,358.0
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405.0,382.0
LM102,Psychology,509.0,495.0
LM115,Chemical and Biochemical Engineering,454.0,456.0
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476.0,434.0
LM118,Electronic and Computer Engineering,403.0,401.0
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351.0,352.0
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327.0,330.0
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441.0,412.0
LM125,Physics (Applied Physics or Mathematics & Physics),404.0,405.0
LM152,Mental Health Nursing,419.0,388.0
LM156,Midwifery,469.0,429.0
LY108,Business - Accounting,309.0,318.0
LY118,Business,290.0,287.0
LY208,Law,300.0,300.0
LY228,Sports and Exercise - Common Entry,300.0,278.0
LY508,Fire Safety Engineering,276.0,270.0
LY518,Quantity Surveying,301.0,307.0
LY528,Construction Management,271.0,267.0
LY608,Mechanical Engineering,300.0,304.0
LY618,Electronic Engineering,312.0,307.0
LY708,Applied Computing,306.0,300.0
LY818,Science - Common Entry,303.0,302.0
LY828,Agriculture - Common Entry,307.0,300.0
LY908,General Nursing,400.0,383.0
LY928,Intellectual Disability Nursing,328.0,288.0
LY968,"Early Childhood Care, Health and Education",303.0,300.0
LY978,Health & Social Care - Common Entry,280.0,260.0
MH101,Arts,318.0,316.0
MH106,Psychology - 3 years,521.0,495.0
MH107,Social Science,346.0,326.0
MH109,Media Studies,316.0,317.0
MH201,Science,360.0,350.0
MH202,Biotechnology,455.0,429.0
MH204,Physics with Astrophysics,422.0,420.0
MH206,Theoretical Physics and Mathematics,510.0,498.0
MH207,Data Science,445.0,434.0
MH208,Biological and Biomedical Sciences,498.0,451.0
MH209,Psychology (through Science) - 4 years,498.0,473.0
MH210,Pharmaceutical and Biomedical Chemistry,487.0,446.0
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422.0,444.0
MH304,Engineering (Computer/Electronic/Communications),333.0,371.0
MH305,Product Design,357.0,358.0
MH306,Robotics and Intelligent Devices,361.0,361.0
MH401,Finance (options),357.0,352.0
MH402,Quantitative Finance,476.0,476.0
MH403,Accounting and Finance,422.0,402.0
MH404,Business (options),430.0,400.0
MH405,Equine Business,357.0,357.0
MH407,Business and Accounting,420.0,401.0
MH411,Entrepreneurship,371.0,358.0
MH501,LLB Law - four year Single Major Law programme,473.0,451.0
MH502,Law (options),451.0,410.0
MH601,Computer Science through Arts (options),352.0,342.0
MH602,Computer Science through Science (options),351.0,357.0
MH603,Computational Thinking,532.0,520.0
MH801,Early Childhood - Teaching and Learning (part-time),327.0,347.0
MI001,Contemporary & Applied Theatre Studies,390.0,345.0
MI002,Arts,281.0,300.0
MI007,Early Childhood Care and Education,357.0,366.0
MI008,Education and Psychology - Primary Teaching,588.0,543.0
MI009,"Education, Business Studies and Accounting",402.0,392.0
MI010,"Education, Business Studies and Religious Studies",368.0,326.0
MI011,"Education, Gaeilge and Religious Studies",409.0,377.0
MI012,"Education, Gaeilge and Business Studies",401.0,398.0
MI013,"Education, Mathematics and Gaeilge",444.0,433.0
MU001,Theology and Arts,290.0,290.0
MU002,Theology,440.0,292.0
NC003,Computing (Degree Award options),260.0,261.0
NC005,Human Resource Management,300.0,297.0
NC009,Business,300.0,297.0
NC010,Psychology,400.0,366.0
NC020,Marketing Practice,282.0,270.0
NC022,Accounting and Finance,337.0,338.0
NC023,Technology Management (with specialisations),261.0,260.0
PC405,"Social, Political and Community Studies",216.0,251.0
PC410,Arts and Humanities (fulfils Teaching Council requirements),209.0,203.0
PC411,English and History (fulfils Teaching Council requirements),209.0,168.0
RC005,Pharmacy,578.0,555.0
SG141,Business,261.0,252.0
SG142,Business in International Marketing and Languages (French),279.0,270.0
SG144,Business in International Marketing and Languages (Spanish),270.0,280.0
SG146,Accounting,309.0,307.0
SG147,Sport with Business,307.0,269.0
SG148,Tourism with Event Management,269.0,246.0
SG241,Performing Arts,328.0,279.0
SG242,Early Childhood Care and Education,279.0,278.0
SG243,Social Care Practice,301.0,297.0
SG245,Creative Design,282.0,261.0
SG246,Computing,290.0,295.0
SG247,English and Psychology,309.0,308.0
SG248,Sociology and Politics,281.0,282.0
SG249,Writing and Literature,297.0,279.0
SG250,Application Design and User Experience,412.0,290.0
SG251,Computing (Smart Technologies),342.0,303.0
SG252,Software Development,307.0,300.0
SG253,Computer Networks and Cloud Infrastructure,378.0,273.0
SG343,Quantity Surveying,311.0,261.0
SG346,Construction Project Management and Applied Technology,291.0,289.0
SG347,Architecture,360.0,309.0
SG442,Occupational Safety and Health,290.0,289.0
SG443,Human Nutrition,356.0,357.0
SG444,Science Undenominated,338.0,308.0
SG445,Pharmaceutical Science with Drug Development,311.0,347.0
SG447,Health Science and Physical Activity,328.0,316.0
SG448,Forensic Investigation and Analysis,307.0,306.0
SG449,Medical Biotechnology,341.0,329.0
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281.0,281.0
TL802,"TV, Radio and New Media (Level 8)",325.0,306.0
TL810,Computing with Software Development,310.0,309.0
TL811,Computing with Games Development,358.0,310.0
TL815,Computing (Degree Award options),308.0,308.0
TL823,Event Management (3 year programme),299.0,291.0
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306.0,307.0
TL844,Agricultural Engineering,300.0,311.0
TL845,Civil Engineering,325.0,300.0
TL848,Agricultural Science,308.0,331.0
TL851,Wildlife Biology (Degree Award options),309.0,310.0
TL855,Pharmaceutical Science (Degree Award options),317.0,342.0
TL858,Veterinary Bioscience,308.0,326.0
TL871,Health and Leisure (Degree Award options),300.0,303.0
TL872,Health and Leisure with Massage,309.0,288.0
TL873,Coaching and Sports Performance,289.0,282.0
TL880,Early Childhood Care and Education,307.0,307.0
TL881,Social Care,309.0,308.0
TL890,General Nursing and Mature Applicants,414.0,407.0
TR003,History,456.0,486.0
TR004,Law,565.0,532.0
TR005,Philosophy,442.0,391.0
TR007,Clinical Speech and Language Studies,529.0,499.0
TR015,"Philosophy, Political Science, Economics and Sociology",589.0,566.0
TR016,Deaf Studies,329.0,337.0
TR017,Law and Business,602.0,576.0
TR019,Law and German,542.0,523.0
TR020,Law and Political Science,601.0,567.0
TR021,"Classics, Ancient History and Archaeology",370.0,377.0
TR022,Early and Modern Irish,398.0,347.0
TR023,English Studies,474.0,463.0
TR024,European Studies,530.0,520.0
TR028,Ancient and Medieval History and Culture,342.0,339.0
TR029,Political Science and Geography,510.0,477.0
TR031,Mathematics,531.0,566.0
TR035,Theoretical Physics,543.0,554.0
TR038,Engineering with Management,532.0,499.0
TR039,Computer Science and Language,424.0,435.0
TR040,Middle Eastern and European Languages and Cultures,466.0,485.0
TR041,Religion,368.0,347.0
TR054,Occupational Therapy,533.0,500.0
TR055,Radiation Therapy,543.0,510.0
TR056,Human Health and Disease,564.0,543.0
TR062,Geography and Geoscience,473.0,435.0
TR080,Global Business,589.0,565.0
TR082,Computer Science and Business,555.0,510.0
TR083,Sociology and Social Policy,478.0,451.0
TR085,Business Studies and French,521.0,509.0
TR086,Business Studies and German,499.0,474.0
TR087,Business Studies and Russian,456.0,467.0
TR089,Business Studies and Polish,424.0,393.0
TR090,Business Studies and Spanish,531.0,510.0
TR095,Mental Health Nursing,408.0,358.0
TR097,Intellectual Disability Nursing,378.0,346.0
TR913,Midwifery,473.0,423.0
WD001,Applied Computing (options),260.0,279.0
WD002,Science (options),308.0,302.0
WD005,Health Sciences (options),280.0,288.0
WD006,Exercise Sciences (options),280.0,282.0
WD007,Engineering (options),288.0,287.0
WD025,Construction Management and Engineering,269.0,269.0
WD048,Business (options),271.0,278.0
WD084,Accounting,308.0,307.0
WD091,Hospitality Management,228.0,210.0
